名称,合作方式,预估总价,预估工时,所在区域,投递人数,发布项目,detail_url,需求描述
C#游戏开服管理程序开发,项目制 全国远程,4900元,7天,全国远程,1,2,https://www.yuanjisong.com/job/151162,"['需求描述：\r', '根据我提供类似软件 做一个游戏开服管理工具。含服务器添加后台管理 和前台\r', '后台可以分配服务器池。并可以分配给前台注册用户指定服务器IP加端口\r', '前台可用户注册  注册成功后.后台可以分配服务器IP给前台注册用户\r', '前台可以通过websocket 连接至服务器管理 并且可以调试插件 自定义上传插件等\r', '其他功能按照我提供的软件来做。 有相关软件可以反编译查看。服务器端也有相应代码查看\r', '\r', '人才要求：\r', '\r', 'unity c#  反编译c# 经验者']"
外服游戏优化定制定做,项目制 全国远程,5600元,7天,全国远程,,1,https://www.yuanjisong.com/job/151161,['3DMMORPG类网游，追踪汇编，懂一些VB，Delphi，BC，vc等等都用的上  封bao，内存，变态游戏bug 游戏特效导致游戏客户端闪退，3090ti显卡也照样客户端闪退，利用这一点达成效果，详细私聊，价格可谈']
Android工程师，有IOS开发更佳,时间制 全国远程,1000元,1天,全国远程,,10,https://www.yuanjisong.com/job/151160,"['1、修复安卓内置浏览器问题(目前APP内置浏览器调用文件会闪退，无法加载动画JS)\r', '2、调整部分接口可根据根据后端字段属性进行APP内置浏览器跳转或外置浏览器跳转（APP其他接口已有此功能）\r', '3、有IOS开发技术可投，需求价格可加，解决现有IOS部分UI界面显示不协调问题，(主要体现文字显示不完整和部分按钮颜与主题不搭)']"
安卓开发工程师,项目制 全国远程,7500元,15天,全国远程,,3,https://www.yuanjisong.com/job/151159,"['一，需求描述\r', '类别：二维码扫描app开发\r', '进度：已有原型图，UI，需技术开发\r', '功能：工具型app；可以对二维码，条形码扫描展示结果，并对结果进行复制，查询；可以创建二维码；有付费功能；有广告接口；用户无需登录注册；app无需数据埋点，无管理后台；功能简单\r', '\r', '二，人才要求\r', '有做过海外Google内购经验，有接入Google ads广告的开发经验；有二维码扫描app开发经验者优先\r', '\r', '三，合作方式\r', '开发方式：远程开发\r', '开发周期：2-3周']"
前端工程师 react主vue副,项目制 全国远程,6000元,10天,全国远程,,1,https://www.yuanjisong.com/job/151158,"['我叫Neil，现在是SAP的软件开发工程师，已经工作大约5年了，在从事开发SAP之前，我有4年的前端经验，所以SAP开发和前端我都很熟悉。\r', '我做过0-1的产品以及项目的重构。自从疫情以来，我最近一直属于flex work的工作模式，发现这种工作模式有更多自主学习交流与提升的时间，也可以高效的从事开发与协同。\r', '我是一个比较喜欢尝试使用各种新的技术的开发，开发之余我会尝试在业余时间用新技术开发一些提升效率的工具。未来是想做full-stack的开发工程师，这样可以很好地了解整个产品的生命周期以及市场的反响，这对于个人提升是非常大的。']"
Java小工具,项目制 全国远程,700元,1天,全国远程,,9,https://www.yuanjisong.com/job/151157,"['需要做个Android小app和简易的计数后台。\r', '功能一：从固定连接获取缓存的json结构的数据提取几个字段的数据，\r', '功能二：使用不同参数分别调用5不同封装命令，完成对应的几个功能的实现。其中把带有dp连接的图片展示app。\r', '执行完成以上动作后，传递成功信息给shell脚本。\r', '另外上传带有参数的给统计后台，告诉统计后台任务']"
电商 拍照搜图 商品对比小程序,项目制 全国远程,500元,1天,全国远程,,2,https://www.yuanjisong.com/job/151156,"['1，采集抖音的推荐商品，获取商品数据；\r', '2，PDD拍照搜图，获取同品；\r', '3，筛选/存储/网页展示/导出商品数据。\r', '具体业务逻辑需详细沟通；\r', '客户已经确定的需求，有技术解决方案，自己没时间搞，分出来。工费按实际走平台结算。']"
安联汇金合同管理系统,项目制 全国远程,10000元,20天,全国远程,,1,https://www.yuanjisong.com/job/151155,"['1、项目需求见pdf：管理端\r', '系统账号管理：系统账号的增删改查\r', '供应商账号管理：对供应商的账号增删改查\r', '承兑人管理：对承兑人进行增删改查\r', '出票人管理：对出票人进行增删改查\r', '系统日志：系统操作日志记录和查询\r', '合同管理：合同的查询和下载、删除等\r', '电子汇票管理：电子汇票的查询、删除等\r', '报表统计：根据不同分类统计不同的数据，可下载 EXCEL 文件\r', '供应商端\r', '自主注册：小程序/PC\r', '合同管理：合同上传、查看、下载等\r', '\r', '2、开发周期：4周']"
UE开发工程师,项目制 全国远程,9000元,10天,全国远程,,1,https://www.yuanjisong.com/job/151154,['做一个虚拟数字人的Ue程序。有设计图，包含登陆页面，换装 特效动画等。提供模型等资源  需要有完整的Ue项目经验 2年工作经验以上']
Web前端开发工程师,时间制 驻场,4900元,7天,深圳,,1,https://www.yuanjisong.com/job/151153,"['职位详情\r', '基于我们提供的UI框架，开发新的前端项目。\r', '注：\r', '1.UI框架：VUE或react\r', '2.系统里面有完整的后端api对接，我们已经整理好API接口文档。\r', '\r', '招募要求\r', '1.精通VUE或react或layui。\r', '2.良好的代码习惯\r', '3.有过相关案例']"
c++工程师,时间制 驻场,90000元,90天,上海,,2,https://www.yuanjisong.com/job/151151,"['岗位要求：\r', '1、统招本科及以上学历，计算机等相关专业；\r', '2、具有3年以上Linux开发经验，精通C/C++语言编程，多线程编程；\r', '3、熟练掌握Linux C++开发工具；熟悉Linux系统特性，对系统的分析和性能优化有较深入研究；\r', '4、熟悉epoll高并发机制\r', '5、熟悉mysql，文件存储\r', '6、熟悉共享内存读写\r', '7、熟悉信号量\r', '8、有http上传下载经验优先\r', '9、有团队意识，积极主动\r', '\r', '岗位需求：\r', '0、项目需要6个月\r', '1、正常早九晚六，工作日晚上可能会加一小时班，我们中午是提供一次午餐，晚餐需要自行解决，加班从六点半正常开始算起\r', '2、负责数据云平台的项目开发工作\r', '3、团队大约4~5人\r', '4、英语书面即可，无特殊要求\r', '5、技术两轮，HR一轮\r', '6、越快到岗越好，尽量月底之前\r', '7、年龄35岁以内\r', '8、硬性条件可参考JD\r', '9、基本不涉及出差\r', '10、性别偏好男性\r', '11、 交社保']"
Java工程师,项目制 驻场,1000元,2天,天津,,2,https://www.yuanjisong.com/job/151150,"['一、需求 \r', '1、部署前端项目环境（vscode+vue）。 \r', '2、部署后端环境（idea+Java）。 \r', '3、将git环境的代码下载后，在客户devops环境下部署项目。 \r', '4、部署和发布的教学。 \r', '二、技术要求 \r', '1、熟练使用vscode，idea，linex,shell。 \r', '2、会前后端部署和发布。 \r', '3、会前端vue和springboot技术。']"
书画教育学习小程序,项目制 全国远程,10000元,10天,全国远程,,1,https://www.yuanjisong.com/job/151148,"['一、概述\r', '\t建立一个书画教育学习的APP，以视频课程为主，以图片赏析为辅。实现内容的检索，如文字和图片的检索；通过会员管理实现注册，收费。\r', '\r', '二、栏目规划\r', '\t1、视频点播、顺序自动播放\r', '\r', '\t2、内容检索—   类似腾讯医典小程序的检索\r', '\r', '\t\t\t实现内容分类与关键词检索；包括文本与图片检索；\r', '\r', '\t3、会员管理：\r', '\t\t\t注册、栏目权限 \r', '\r', '\t4、计费管理：\r', '\t\t\t实现会员按月，年、模块计费。\r', '\t\t\t\r', '采用uniapp的跨平台开发方案、先只做小程序、要求提供项目代码。\r', '\r', '项目制 全国远程']"
GIS和BIM开发,项目制 全国远程,1500元,3天,全国远程,,1,https://www.yuanjisong.com/job/151147,"['一、需求描述：\r', '类别：前端GIS+三维模型展示\r', '进度：已经有三维模型，需要进行页面中GIS和三维模型加载显示、漫游等功能开发\r', '功能：1、开发页面集成到现有的平台系统中，2、三维模型在gis中显示，3、三维模型基本操作，点击特定构件、旋转、缩放、漫游等。\r', '技术：GIS、三维模型展示相关技术，现有平台系统采用Springboot、mybatis、Thymeleaf、Bootstrap开发\r', '\r', '二、人才要求：\r', '3年以上JAVA开发经验，熟悉GIS、三维模型展示相关技术，可对接Springboot、mybatis、Vue、Element开发，有成功案例者或熟悉RuoYi(https://gitee.com/y_project/RuoYi)者优先。\r', '合作效果较好时，可长期合作。\r', '\r', '三、合作方式：\r', '开发方式：远程开发。\r', '开发周期：2-3天']"
公众号,项目制 全国远程,4900元,7天,全国远程,,1,https://www.yuanjisong.com/job/151146,"['你好，我想做一个公众号，｛可以参照公众号   机械超人，工厂超人，来接活｝\r', '主要功能\r', '公众号能够每天发送多条信息，推送给关注的人，关注的人，我可以给他们打标签，然后我选择性的推送给他们，\r', '项目信息我来填，电话是显示星号，关注的人通过付费可以查看电话。']"
微信小游戏开发,项目制 驻场,500元,1天,上海,,1,https://www.yuanjisong.com/job/151145,"['一、需求描述：\r', '类别：微信小游戏（消除类）\r', '进度：已有产品文档、UI，需要技术开发。\r', '功能：聊天模块、团队模块、提现模块、pk模块以及后台需要技术将这些模块实现。\r', '技术：cocos\r', '\r', '二、人才需求\r', '1、至少有两款上线项目经验者；\r', '2、有网赚项目开发经验者优先；\r', '3、要驻场坐班；\r', '\r', '三、参考产品\r', '开心消消乐\r', '天天爱消除\r', '\r', '四、合作方式：\r', '开发方式：坐班驻场\r', '开发周期：20-30天']"
冥想睡眠app,时间制 全国远程,12000元,15天,全国远程,,1,https://www.yuanjisong.com/job/151143,"['与设计和其他开发一道，完成产品所需的安卓开发工作。项目使用Java & Kotlin。\r', '\r', '- 具备独立完成app开发的能力\r', '- 在意UI与交互细节\r', '- 有良好的沟通协作精神，能够与设计师和其他工程师协同\r', '- 了解Retrofit、RxJava、Dagger、EventBus']"
虚幻引擎开发工程师,项目制 全国远程,7000元,7天,全国远程,,1,https://www.yuanjisong.com/job/151142,"['需求描述：\r', '-基于虚幻引擎进行3D场景交互功能开发（3D&2D交互界面和动效）\r', '-基于虚幻引擎进行扩展插件开发\r', '-虚幻引擎通讯模块开发\r', '\r', '人才描述：\r', '- 3年以上虚幻引擎开发经验（C++和蓝图）\r', '- 有丰富的产品、游戏等交互设计和开发经验\r', '- 有丰富的引擎插件扩展功能开发经验\r', '- 追求高质量、高性能的代码\r', '- 理解能力沟通能力强，逻辑思维清晰严谨\r', '- 有良好的技术文档编写能力\r', '\r', '参考产品：\r', 'https://www.bilibili.com/video/BV1Ev4y1f7Yh/?spm_id_from=333.788.recommend_more_video.1\r', '\r', '合作方式：\r', '短期项目合作']"
unity后端服务,项目制 全国远程,500元,1天,全国远程,,1,https://www.yuanjisong.com/job/151141,"['需求:远程处理unity项目中的相关bug，在专业版中修改闪屏，最后按要求打包apk。\r', '人才技术:unity  c#，懂得打包需要的相关环境，能处理代码项目中的相关bug，远程工具:向日葵。']"
ui设计,项目制 全国远程,2000元,4天,全国远程,,2,https://www.yuanjisong.com/job/151140,"['简介\r', '本项目是一个管理类软件，现场人员通过手机app收集信息，收集好的信息在后台网页上汇总成报表，项目基本由表单组成。\r', '功能需求\r', '根据提供的业务流程及相关票据模板设计网页和手机app界面，页面风格和部件都有现成的的，只需要拼凑起来使用户使用起来更加直观intuitive。']"
